produit;ref;description;min;max;ht;option_nom;option_valeur;option_prix;option_nom;option_valeur;option_prix;option_nom;option_valeur;option_prix;option_nom;option_valeur;option_prix;tag;tag;tag;tag
BLOC-NOTES SOUPLE AVEC STYLO;NTJ-1;Etui en vinyle personnalisable avec marquage inclus, avec une bande en couleur, cousu sur papier carton et composé de 50 feuilles détachables. avec stylo integré rétractable à encre bleue, maintenu en place par une sangle élastique noire cousue sur l’étui en vinyle.;1000;999999;3,82 €;divers;Bleu;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Empreinte thermique;0;surface d'impression;50 x 50mm;0;Articles en Papier;Nouveau;;Hors Ecriture
BLOC-NOTES SOUPLE AVEC STYLO;NTJ-2;Etui en vinyle personnalisable avec marquage inclus, avec une bande en couleur, cousu sur papier carton et composé de 50 feuilles détachables. avec stylo integré rétractable à encre bleue, maintenu en place par une sangle élastique noire cousue sur l’étui en vinyle.;50;99;4,48 €;divers;Marron;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Empreinte thermique;0;surface d'impression;50 x 50mm;0;Articles en Papier;Nouveau;;Hors Ecriture
BLOC-NOTES SOUPLE AVEC STYLO;NTJ-2;Etui en vinyle personnalisable avec marquage inclus, avec une bande en couleur, cousu sur papier carton et composé de 50 feuilles détachables. avec stylo integré rétractable à encre bleue, maintenu en place par une sangle élastique noire cousue sur l’étui en vinyle.;100;249;4,26 €;divers;Marron;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Empreinte thermique;0;surface d'impression;50 x 50mm;0;Articles en Papier;Nouveau;;Hors Ecriture
BLOC-NOTES SOUPLE AVEC STYLO;NTJ-2;Etui en vinyle personnalisable avec marquage inclus, avec une bande en couleur, cousu sur papier carton et composé de 50 feuilles détachables. avec stylo integré rétractable à encre bleue, maintenu en place par une sangle élastique noire cousue sur l’étui en vinyle.;250;999;3,96 €;divers;Marron;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Empreinte thermique;0;surface d'impression;50 x 50mm;0;Articles en Papier;Nouveau;;Hors Ecriture
BLOC-NOTES SOUPLE AVEC STYLO;NTJ-2;Etui en vinyle personnalisable avec marquage inclus, avec une bande en couleur, cousu sur papier carton et composé de 50 feuilles détachables. avec stylo integré rétractable à encre bleue, maintenu en place par une sangle élastique noire cousue sur l’étui en vinyle.;1000;999999;3,82 €;divers;Marron;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Empreinte thermique;0;surface d'impression;50 x 50mm;0;Articles en Papier;Nouveau;;Hors Ecriture
BLOC-NOTES SOUPLE AVEC STYLO;NTJ-3;Etui en vinyle personnalisable avec marquage inclus, avec une bande en couleur, cousu sur papier carton et composé de 50 feuilles détachables. avec stylo integré rétractable à encre bleue, maintenu en place par une sangle élastique noire cousue sur l’étui en vinyle.;50;99;4,48 €;divers;Rouge;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Empreinte thermique;0;surface d'impression;50 x 50mm;0;Articles en Papier;Nouveau;;Hors Ecriture
BLOC-NOTES SOUPLE AVEC STYLO;NTJ-3;Etui en vinyle personnalisable avec marquage inclus, avec une bande en couleur, cousu sur papier carton et composé de 50 feuilles détachables. avec stylo integré rétractable à encre bleue, maintenu en place par une sangle élastique noire cousue sur l’étui en vinyle.;100;249;4,26 €;divers;Rouge;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Empreinte thermique;0;surface d'impression;50 x 50mm;0;Articles en Papier;Nouveau;;Hors Ecriture
BLOC-NOTES SOUPLE AVEC STYLO;NTJ-3;Etui en vinyle personnalisable avec marquage inclus, avec une bande en couleur, cousu sur papier carton et composé de 50 feuilles détachables. avec stylo integré rétractable à encre bleue, maintenu en place par une sangle élastique noire cousue sur l’étui en vinyle.;250;999;3,96 €;divers;Rouge;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Empreinte thermique;0;surface d'impression;50 x 50mm;0;Articles en Papier;Nouveau;;Hors Ecriture
BLOC-NOTES SOUPLE AVEC STYLO;NTJ-3;Etui en vinyle personnalisable avec marquage inclus, avec une bande en couleur, cousu sur papier carton et composé de 50 feuilles détachables. avec stylo integré rétractable à encre bleue, maintenu en place par une sangle élastique noire cousue sur l’étui en vinyle.;1000;999999;3,82 €;divers;Rouge;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Empreinte thermique;0;surface d'impression;50 x 50mm;0;Articles en Papier;Nouveau;;Hors Ecriture
Boîte cadeau - satin;11999A-1;Coffret cadeau élégant personnalisable marquage inclus, avec doublure en satin et ruban à l'intérieur. 2 elastiques en-dessous du ruban pour maintenir vos objets en place.;50;99;2,28 €;divers;Noir;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Pas de Personnalisation Possible;0;surface d'impression;n/a;0;Coffret Cadeau ;;;Vendu sans Stylo
Boîte cadeau - satin;11999A-1;Coffret cadeau élégant personnalisable marquage inclus, avec doublure en satin et ruban à l'intérieur. 2 elastiques en-dessous du ruban pour maintenir vos objets en place.;100;249;2,20 €;divers;Noir;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Pas de Personnalisation Possible;0;surface d'impression;n/a;0;Coffret Cadeau ;;;Vendu sans Stylo
Boîte cadeau - satin;11999A-1;Coffret cadeau élégant personnalisable marquage inclus, avec doublure en satin et ruban à l'intérieur. 2 elastiques en-dessous du ruban pour maintenir vos objets en place.;250;999;2,02 €;divers;Noir;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Pas de Personnalisation Possible;0;surface d'impression;n/a;0;Coffret Cadeau ;;;Vendu sans Stylo
Boîte cadeau - satin;11999A-1;Coffret cadeau élégant personnalisable marquage inclus, avec doublure en satin et ruban à l'intérieur. 2 elastiques en-dessous du ruban pour maintenir vos objets en place.;1000;999999;1,96 €;divers;Noir;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Pas de Personnalisation Possible;0;surface d'impression;n/a;0;Coffret Cadeau ;;;Vendu sans Stylo
Couteau 5 Fonctions;DXA-1;Ce couteau personnalisable avec marquage inclus contient 5 outils en acier inoxydable: lame principale, ouvreboîte, tournevis plats / décapsuleur, tire-bouchon, tournevis cruciforme! ;50;99;4,18 €;divers;Noir;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Gravure Laser;0;surface d'impression;50.8 x 6mm;0;Outils;Nouveau;;Hors Ecriture
Couteau 5 Fonctions;DXA-1;Ce couteau personnalisable avec marquage inclus contient 5 outils en acier inoxydable: lame principale, ouvreboîte, tournevis plats / décapsuleur, tire-bouchon, tournevis cruciforme! ;100;249;3,96 €;divers;Noir;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Gravure Laser;0;surface d'impression;50.8 x 6mm;0;Outils;Nouveau;;Hors Ecriture
Couteau 5 Fonctions;DXA-1;Ce couteau personnalisable avec marquage inclus contient 5 outils en acier inoxydable: lame principale, ouvreboîte, tournevis plats / décapsuleur, tire-bouchon, tournevis cruciforme! ;250;999;3,68 €;divers;Noir;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Gravure Laser;0;surface d'impression;50.8 x 6mm;0;Outils;Nouveau;;Hors Ecriture
Couteau 5 Fonctions;DXA-1;Ce couteau personnalisable avec marquage inclus contient 5 outils en acier inoxydable: lame principale, ouvreboîte, tournevis plats / décapsuleur, tire-bouchon, tournevis cruciforme! ;1000;999999;3,54 €;divers;Noir;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Gravure Laser;0;surface d'impression;50.8 x 6mm;0;Outils;Nouveau;;Hors Ecriture
